,tweetID,OriginalTweetID,OrigLoc,OrigScrNm,RetweetCt
20250,3310552557,2458907334,Finchley,KhanUKIP,1003.0
22304,3309036683,2458907334,Finchley,KhanUKIP,1003.0
24454,3294609845,2458907334,Finchley,KhanUKIP,1003.0
24446,3295084774,2458907334,Finchley,KhanUKIP,1003.0
23456,3307806417,2458907334,Finchley,KhanUKIP,1003.0
24442,3295911015,2458907334,Finchley,KhanUKIP,1003.0
22172,3309118031,2458907334,Finchley,KhanUKIP,1003.0
20272,3246859323,2458907334,Finchley,KhanUKIP,1003.0
22178,3309023271,2458907334,Finchley,KhanUKIP,1003.0
24254,3154305150,2458907334,Finchley,KhanUKIP,1003.0
24438,3295975521,2458907334,Finchley,KhanUKIP,1003.0
22970,3308430280,2458907334,Finchley,KhanUKIP,1003.0
23364,3310827994,2458907334,Finchley,KhanUKIP,1003.0
22968,3150957447,2458907334,Finchley,KhanUKIP,1003.0
24432,3295516613,2458907334,Finchley,KhanUKIP,1003.0
24424,3295920261,2458907334,Finchley,KhanUKIP,1003.0
22192,3199536441,2458907334,Finchley,KhanUKIP,1003.0
22926,3236279130,2458907334,Finchley,KhanUKIP,1003.0
24418,3296016646,2458907334,Finchley,KhanUKIP,1003.0
23382,3307891486,2458907334,Finchley,KhanUKIP,1003.0
22202,3309056817,2458907334,Finchley,KhanUKIP,1003.0
19912,3310735204,2458907334,Finchley,KhanUKIP,1003.0
24412,3296070335,2458907334,Finchley,KhanUKIP,1003.0
23460,3309468106,2458907334,Finchley,KhanUKIP,1003.0
20282,3310332934,2458907334,Finchley,KhanUKIP,1003.0
24390,3296251312,2458907334,Finchley,KhanUKIP,1003.0
23476,3307907782,2458907334,Finchley,KhanUKIP,1003.0
22160,3308897525,2458907334,Finchley,KhanUKIP,1003.0
22992,3308365397,2458907334,Finchley,KhanUKIP,1003.0
23356,3307913073,2458907334,Finchley,KhanUKIP,1003.0
22312,3309004259,2458907334,Finchley,KhanUKIP,1003.0
20366,3310393132,2458907334,Finchley,KhanUKIP,1003.0
20364,3310450845,2458907334,Finchley,KhanUKIP,1003.0
24210,3296961976,2458907334,Finchley,KhanUKIP,1003.0
24222,3297454601,2458907334,Finchley,KhanUKIP,1003.0
20330,3310271267,2458907334,Finchley,KhanUKIP,1003.0
20324,3262037565,2458907334,Finchley,KhanUKIP,1003.0
24224,3297459958,2458907334,Finchley,KhanUKIP,1003.0
